319,S,W,E,30,1,6
322,S,W,E,29,1,6
323,S,W,E,28,1,6
325,S,W,E,27,1,6
328,S,W,E,16,1,6
331,S,W,E,15,1,6
335,S,W,E,14,1,6
337,S,W,E,13,1,6
339,S,W,E,12,1,6
343,S,W,E,11,1,6
345,S,W,E,10,1,6
348,S,W,E,7,1,6
350,S,W,E,1,1,6
353,S,W,E,2,1,6
355,S,W,E,3,1,6
358,S,W,E,4,1,6
360,S,W,E,5,1,6
362,S,W,E,6,1,6
347,S,W,E,30,2,6
349,S,W,E,29,2,6
351,S,W,E,28,2,6
352,S,W,E,27,2,6
355,S,W,E,16,2,6
358,S,W,E,15,2,6
360,S,W,E,14,2,6
362,S,W,E,13,2,6
364,S,W,E,12,2,6
368,S,W,E,11,2,6
370,S,W,E,10,2,6
373,S,W,E,7,2,6
376,S,W,E,1,2,6
378,S,W,E,2,2,6
380,S,W,E,3,2,6
383,S,W,E,4,2,6
385,S,W,E,5,2,6
388,S,W,E,6,2,6
377,S,W,E,30,3,6
379,S,W,E,29,3,6
381,S,W,E,28,3,6
382,S,W,E,27,3,6
385,S,W,E,16,3,6
388,S,W,E,15,3,6
390,S,W,E,14,3,6
392,S,W,E,13,3,6
394,S,W,E,12,3,6
398,S,W,E,11,3,6
400,S,W,E,10,3,6
403,S,W,E,7,3,6
406,S,W,E,1,3,6
408,S,W,E,2,3,6
410,S,W,E,3,3,6
413,S,W,E,4,3,6
415,S,W,E,5,3,6
418,S,W,E,6,3,6
407,S,W,E,30,4,6
409,S,W,E,29,4,6
411,S,W,E,28,4,6
412,S,W,E,27,4,6
415,S,W,E,16,4,6
418,S,W,E,15,4,6
420,S,W,E,14,4,6
422,S,W,E,13,4,6
424,S,W,E,12,4,6
428,S,W,E,11,4,6
430,S,W,E,10,4,6
433,S,W,E,7,4,6
436,S,W,E,1,4,6
438,S,W,E,2,4,6
440,S,W,E,3,4,6
443,S,W,E,4,4,6
445,S,W,E,5,4,6
448,S,W,E,6,4,6
437,S,W,E,30,5,6
439,S,W,E,29,5,6
441,S,W,E,28,5,6
442,S,W,E,27,5,6
445,S,W,E,16,5,6
448,S,W,E,15,5,6
450,S,W,E,14,5,6
452,S,W,E,13,5,6
454,S,W,E,12,5,6
458,S,W,E,11,5,6
460,S,W,E,10,5,6
463,S,W,E,7,5,6
466,S,W,E,1,5,6
468,S,W,E,2,5,6
470,S,W,E,3,5,6
473,S,W,E,4,5,6
475,S,W,E,5,5,6
478,S,W,E,6,5,6
467,S,W,E,30,6,6
469,S,W,E,29,6,6
471,S,W,E,28,6,6
472,S,W,E,27,6,6
475,S,W,E,16,6,6
478,S,W,E,15,6,6
480,S,W,E,14,6,6
482,S,W,E,13,6,6
484,S,W,E,12,6,6
488,S,W,E,11,6,6
490,S,W,E,10,6,6
493,S,W,E,7,6,6
496,S,W,E,1,6,6
498,S,W,E,2,6,6
500,S,W,E,3,6,6
503,S,W,E,4,6,6
505,S,W,E,5,6,6
508,S,W,E,6,6,6
497,S,W,E,30,7,6
499,S,W,E,29,7,6
501,S,W,E,28,7,6
502,S,W,E,27,7,6
505,S,W,E,16,7,6
508,S,W,E,15,7,6
510,S,W,E,14,7,6
512,S,W,E,13,7,6
514,S,W,E,12,7,6
518,S,W,E,11,7,6
520,S,W,E,10,7,6
523,S,W,E,7,7,6
526,S,W,E,1,7,6
528,S,W,E,2,7,6
530,S,W,E,3,7,6
533,S,W,E,4,7,6
535,S,W,E,5,7,6
538,S,W,E,6,7,6
857,S,W,E,30,8,6
859,S,W,E,29,8,6
861,S,W,E,28,8,6
862,S,W,E,27,8,6
865,S,W,E,16,8,6
868,S,W,E,15,8,6
870,S,W,E,14,8,6
872,S,W,E,13,8,6
874,S,W,E,12,8,6
878,S,W,E,11,8,6
880,S,W,E,10,8,6
883,S,W,E,7,8,6
886,S,W,E,1,8,6
889,S,W,E,2,8,6
891,S,W,E,3,8,6
894,S,W,E,4,8,6
897,S,W,E,5,8,6
899,S,W,E,6,8,6
887,S,W,E,30,9,6
890,S,W,E,29,9,6
891,S,W,E,28,9,6
893,S,W,E,27,9,6
896,S,W,E,16,9,6
899,S,W,E,15,9,6
900,S,W,E,14,9,6
903,S,W,E,13,9,6
905,S,W,E,12,9,6
908,S,W,E,11,9,6
911,S,W,E,10,9,6
914,S,W,E,7,9,6
917,S,W,E,1,9,6
919,S,W,E,2,9,6
922,S,W,E,3,9,6
925,S,W,E,4,9,6
927,S,W,E,5,9,6
930,S,W,E,6,9,6
917,S,W,E,30,10,6
920,S,W,E,29,10,6
921,S,W,E,28,10,6
923,S,W,E,27,10,6
926,S,W,E,16,10,6
929,S,W,E,15,10,6
930,S,W,E,14,10,6
933,S,W,E,13,10,6
935,S,W,E,12,10,6
938,S,W,E,11,10,6
941,S,W,E,10,10,6
