254,N,H,E,6,1,30
256,N,H,E,5,1,30
258,N,H,E,4,1,30
261,N,H,E,3,1,30
263,N,H,E,2,1,30
265,N,H,E,1,1,30
270,N,H,E,7,1,30
273,N,H,E,10,1,30
275,N,H,E,11,1,30
278,N,H,E,12,1,30
280,N,H,E,13,1,30
284,N,H,E,14,1,30
285,N,H,E,15,1,30
288,N,H,E,16,1,30
292,N,H,E,27,1,30
294,N,H,E,28,1,30
297,N,H,E,29,1,30
300,N,H,E,30,1,30
283,N,H,E,6,2,30
286,N,H,E,5,2,30
288,N,H,E,4,2,30
291,N,H,E,3,2,30
293,N,H,E,2,2,30
295,N,H,E,1,2,30
298,N,H,E,7,2,30
301,N,H,E,10,2,30
303,N,H,E,11,2,30
306,N,H,E,12,2,30
308,N,H,E,13,2,30
311,N,H,E,14,2,30
313,N,H,E,15,2,30
316,N,H,E,16,2,30
319,N,H,E,27,2,30
320,N,H,E,28,2,30
322,N,H,E,29,2,30
324,N,H,E,30,2,30
328,N,H,E,7,3,30
331,N,H,E,10,3,30
333,N,H,E,11,3,30
336,N,H,E,12,3,30
338,N,H,E,13,3,30
341,N,H,E,14,3,30
343,N,H,E,15,3,30
346,N,H,E,16,3,30
349,N,H,E,27,3,30
350,N,H,E,28,3,30
352,N,H,E,29,3,30
354,N,H,E,30,3,30
343,N,H,E,6,4,30
346,N,H,E,5,4,30
348,N,H,E,4,4,30
351,N,H,E,3,4,30
353,N,H,E,2,4,30
355,N,H,E,1,4,30
358,N,H,E,7,4,30
361,N,H,E,10,4,30
363,N,H,E,11,4,30
366,N,H,E,12,4,30
368,N,H,E,13,4,30
371,N,H,E,14,4,30
373,N,H,E,15,4,30
376,N,H,E,16,4,30
379,N,H,E,27,4,30
380,N,H,E,28,4,30
382,N,H,E,29,4,30
384,N,H,E,30,4,30
373,N,H,E,6,5,30
376,N,H,E,5,5,30
378,N,H,E,4,5,30
381,N,H,E,3,5,30
383,N,H,E,2,5,30
385,N,H,E,1,5,30
388,N,H,E,7,5,30
391,N,H,E,10,5,30
393,N,H,E,11,5,30
396,N,H,E,12,5,30
398,N,H,E,13,5,30
401,N,H,E,14,5,30
403,N,H,E,15,5,30
406,N,H,E,16,5,30
409,N,H,E,27,5,30
410,N,H,E,28,5,30
412,N,H,E,29,5,30
414,N,H,E,30,5,30
388,N,H,E,6,6,30
391,N,H,E,5,6,30
393,N,H,E,4,6,30
396,N,H,E,3,6,30
398,N,H,E,2,6,30
400,N,H,E,1,6,30
403,N,H,E,7,6,30
406,N,H,E,10,6,30
408,N,H,E,11,6,30
411,N,H,E,12,6,30
413,N,H,E,13,6,30
416,N,H,E,14,6,30
418,N,H,E,15,6,30
421,N,H,E,16,6,30
424,N,H,E,27,6,30
425,N,H,E,28,6,30
427,N,H,E,29,6,30
429,N,H,E,30,6,30
403,N,H,E,6,7,30
406,N,H,E,5,7,30
408,N,H,E,4,7,30
411,N,H,E,3,7,30
413,N,H,E,2,7,30
415,N,H,E,1,7,30
418,N,H,E,7,7,30
421,N,H,E,10,7,30
423,N,H,E,11,7,30
426,N,H,E,12,7,30
428,N,H,E,13,7,30
431,N,H,E,14,7,30
433,N,H,E,15,7,30
436,N,H,E,16,7,30
439,N,H,E,27,7,30
440,N,H,E,28,7,30
442,N,H,E,29,7,30
444,N,H,E,30,7,30
418,N,H,E,6,8,30
421,N,H,E,5,8,30
423,N,H,E,4,8,30
426,N,H,E,3,8,30
428,N,H,E,2,8,30
430,N,H,E,1,8,30
433,N,H,E,7,8,30
436,N,H,E,10,8,30
438,N,H,E,11,8,30
441,N,H,E,12,8,30
443,N,H,E,13,8,30
446,N,H,E,14,8,30
448,N,H,E,15,8,30
451,N,H,E,16,8,30
454,N,H,E,27,8,30
455,N,H,E,28,8,30
457,N,H,E,29,8,30
459,N,H,E,30,8,30
433,N,H,E,6,9,30
436,N,H,E,5,9,30
438,N,H,E,4,9,30
441,N,H,E,3,9,30
443,N,H,E,2,9,30
445,N,H,E,1,9,30
448,N,H,E,7,9,30
451,N,H,E,10,9,30
453,N,H,E,11,9,30
456,N,H,E,12,9,30
458,N,H,E,13,9,30
461,N,H,E,14,9,30
463,N,H,E,15,9,30
466,N,H,E,16,9,30
469,N,H,E,27,9,30
470,N,H,E,28,9,30
472,N,H,E,29,9,30
474,N,H,E,30,9,30
448,N,H,E,6,10,30
451,N,H,E,5,10,30
453,N,H,E,4,10,30
456,N,H,E,3,10,30
458,N,H,E,2,10,30
460,N,H,E,1,10,30
463,N,H,E,7,10,30
466,N,H,E,10,10,30
468,N,H,E,11,10,30
471,N,H,E,12,10,30
473,N,H,E,13,10,30
476,N,H,E,14,10,30
478,N,H,E,15,10,30
481,N,H,E,16,10,30
484,N,H,E,27,10,30
485,N,H,E,28,10,30
487,N,H,E,29,10,30
489,N,H,E,30,10,30
463,N,H,E,6,11,30
466,N,H,E,5,11,30
468,N,H,E,4,11,30
471,N,H,E,3,11,30
473,N,H,E,2,11,30
475,N,H,E,1,11,30
478,N,H,E,7,11,30
481,N,H,E,10,11,30
483,N,H,E,11,11,30
486,N,H,E,12,11,30
488,N,H,E,13,11,30
491,N,H,E,14,11,30
493,N,H,E,15,11,30
496,N,H,E,16,11,30
499,N,H,E,27,11,30
500,N,H,E,28,11,30
502,N,H,E,29,11,30
504,N,H,E,30,11,30
478,N,H,E,6,12,30
481,N,H,E,5,12,30
483,N,H,E,4,12,30
486,N,H,E,3,12,30
488,N,H,E,2,12,30
490,N,H,E,1,12,30
493,N,H,E,7,12,30
496,N,H,E,10,12,30
498,N,H,E,11,12,30
501,N,H,E,12,12,30
503,N,H,E,13,12,30
506,N,H,E,14,12,30
508,N,H,E,15,12,30
511,N,H,E,16,12,30
514,N,H,E,27,12,30
515,N,H,E,28,12,30
517,N,H,E,29,12,30
519,N,H,E,30,12,30
493,N,H,E,6,13,30
496,N,H,E,5,13,30
498,N,H,E,4,13,30
501,N,H,E,3,13,30
503,N,H,E,2,13,30
505,N,H,E,1,13,30
508,N,H,E,7,13,30
511,N,H,E,10,13,30
513,N,H,E,11,13,30
516,N,H,E,12,13,30
518,N,H,E,13,13,30
521,N,H,E,14,13,30
523,N,H,E,15,13,30
526,N,H,E,16,13,30
529,N,H,E,27,13,30
530,N,H,E,28,13,30
532,N,H,E,29,13,30
534,N,H,E,30,13,30
508,N,H,E,6,14,30
511,N,H,E,5,14,30
513,N,H,E,4,14,30
