139,S,H,H,21,1,9
146,S,H,H,22,1,9
147,S,H,H,18,1,9
150,S,H,H,17,1,9
153,S,H,H,16,1,9
156,S,H,H,15,1,9
158,S,H,H,14,1,9
160,S,H,H,13,1,9
162,S,H,H,12,1,9
166,S,H,H,11,1,9
168,S,H,H,10,1,9
170,S,H,H,7,1,9
174,S,H,H,8,1,9
177,S,H,H,9,1,9
191,S,H,H,31,2,9
196,S,H,H,13,2,9
198,S,H,H,12,2,9
201,S,H,H,11,2,9
203,S,H,H,10,2,9
206,S,H,H,7,2,9
210,S,H,H,8,2,9
213,S,H,H,9,2,9
218,S,H,H,31,3,9
223,S,H,H,13,3,9
225,S,H,H,12,3,9
228,S,H,H,11,3,9
230,S,H,H,10,3,9
233,S,H,H,7,3,9
237,S,H,H,8,3,9
240,S,H,H,9,3,9
266,S,H,H,31,4,9
270,S,H,H,13,4,9
272,S,H,H,12,4,9
275,S,H,H,11,4,9
277,S,H,H,10,4,9
280,S,H,H,7,4,9
284,S,H,H,8,4,9
287,S,H,H,9,4,9
272,S,H,H,21,5,9
274,S,H,H,22,5,9
276,S,H,H,18,5,9
279,S,H,H,17,5,9
282,S,H,H,16,5,9
285,S,H,H,15,5,9
292,S,H,H,14,5,9
295,S,H,H,13,5,9
297,S,H,H,12,5,9
300,S,H,H,11,5,9
302,S,H,H,10,5,9
305,S,H,H,7,5,9
309,S,H,H,8,5,9
312,S,H,H,9,5,9
306,S,H,H,31,6,7
310,S,H,H,13,6,7
312,S,H,H,12,6,7
315,S,H,H,11,6,7
317,S,H,H,10,6,7
320,S,H,H,7,6,7
313,S,H,H,21,7,9
315,S,H,H,22,7,9
317,S,H,H,18,7,9
320,S,H,H,17,7,9
323,S,H,H,16,7,9
326,S,H,H,15,7,9
327,S,H,H,14,7,9
330,S,H,H,13,7,9
332,S,H,H,12,7,9
335,S,H,H,11,7,9
337,S,H,H,10,7,9
340,S,H,H,7,7,9
344,S,H,H,8,7,9
347,S,H,H,9,7,9
342,S,H,H,21,8,9
344,S,H,H,22,8,9
346,S,H,H,18,8,9
349,S,H,H,17,8,9
353,S,H,H,16,8,9
356,S,H,H,15,8,9
357,S,H,H,14,8,9
360,S,H,H,13,8,9
362,S,H,H,12,8,9
365,S,H,H,11,8,9
367,S,H,H,10,8,9
370,S,H,H,7,8,9
374,S,H,H,8,8,9
377,S,H,H,9,8,9
372,S,H,H,21,9,9
374,S,H,H,22,9,9
376,S,H,H,18,9,9
379,S,H,H,17,9,9
383,S,H,H,16,9,9
386,S,H,H,15,9,9
387,S,H,H,14,9,9
390,S,H,H,13,9,9
392,S,H,H,12,9,9
395,S,H,H,11,9,9
397,S,H,H,10,9,9
400,S,H,H,7,9,9
404,S,H,H,8,9,9
407,S,H,H,9,9,9
402,S,H,H,21,10,9
404,S,H,H,22,10,9
406,S,H,H,18,10,9
409,S,H,H,17,10,9
413,S,H,H,16,10,9
416,S,H,H,15,10,9
417,S,H,H,14,10,9
420,S,H,H,13,10,9
422,S,H,H,12,10,9
425,S,H,H,11,10,9
427,S,H,H,10,10,9
430,S,H,H,7,10,9
434,S,H,H,8,10,9
437,S,H,H,9,10,9
432,S,H,H,21,11,9
434,S,H,H,22,11,9
436,S,H,H,18,11,9
439,S,H,H,17,11,9
443,S,H,H,16,11,9
446,S,H,H,15,11,9
447,S,H,H,14,11,9
450,S,H,H,13,11,9
452,S,H,H,12,11,9
455,S,H,H,11,11,9
457,S,H,H,10,11,9
460,S,H,H,7,11,9
464,S,H,H,8,11,9
467,S,H,H,9,11,9
461,S,H,H,31,12,9
465,S,H,H,13,12,9
467,S,H,H,12,12,9
470,S,H,H,11,12,9
472,S,H,H,10,12,9
475,S,H,H,7,12,9
479,S,H,H,8,12,9
482,S,H,H,9,12,9
462,S,H,H,21,13,9
464,S,H,H,22,13,9
466,S,H,H,18,13,9
469,S,H,H,17,13,9
473,S,H,H,16,13,9
476,S,H,H,15,13,9
477,S,H,H,14,13,9
480,S,H,H,13,13,9
482,S,H,H,12,13,9
485,S,H,H,11,13,9
487,S,H,H,10,13,9
490,S,H,H,7,13,9
494,S,H,H,8,13,9
497,S,H,H,9,13,9
491,S,H,H,31,14,9
495,S,H,H,13,14,9
497,S,H,H,12,14,9
500,S,H,H,11,14,9
502,S,H,H,10,14,9
505,S,H,H,7,14,9
509,S,H,H,8,14,9
512,S,H,H,9,14,9
492,S,H,H,21,15,9
494,S,H,H,22,15,9
496,S,H,H,18,15,9
499,S,H,H,17,15,9
503,S,H,H,16,15,9
506,S,H,H,15,15,9
507,S,H,H,14,15,9
510,S,H,H,13,15,9
512,S,H,H,12,15,9
515,S,H,H,11,15,9
517,S,H,H,10,15,9
520,S,H,H,7,15,9
524,S,H,H,8,15,9
527,S,H,H,9,15,9
521,S,H,H,31,16,9
525,S,H,H,13,16,9
527,S,H,H,12,16,9
530,S,H,H,11,16,9
532,S,H,H,10,16,9
535,S,H,H,7,16,9
539,S,H,H,8,16,9
542,S,H,H,9,16,9
522,S,H,H,21,17,9
524,S,H,H,22,17,9
526,S,H,H,18,17,9
529,S,H,H,17,17,9
533,S,H,H,16,17,9
536,S,H,H,15,17,9
537,S,H,H,14,17,9
540,S,H,H,13,17,9
542,S,H,H,12,17,9
545,S,H,H,11,17,9
547,S,H,H,10,17,9
550,S,H,H,7,17,9
554,S,H,H,8,17,9
557,S,H,H,9,17,9
537,S,H,H,21,18,9
539,S,H,H,22,18,9
541,S,H,H,18,18,9
544,S,H,H,17,18,9
548,S,H,H,16,18,9
551,S,H,H,15,18,9
552,S,H,H,14,18,9
555,S,H,H,13,18,9
557,S,H,H,12,18,9
560,S,H,H,11,18,9
562,S,H,H,10,18,9
565,S,H,H,7,18,9
569,S,H,H,8,18,9
572,S,H,H,9,18,9
552,S,H,H,21,19,9
554,S,H,H,22,19,9
556,S,H,H,18,19,9
559,S,H,H,17,19,9
563,S,H,H,16,19,9
566,S,H,H,15,19,9
567,S,H,H,14,19,9
570,S,H,H,13,19,9
572,S,H,H,12,19,9
575,S,H,H,11,19,9
577,S,H,H,10,19,9
580,S,H,H,7,19,9
584,S,H,H,8,19,9
587,S,H,H,9,19,9
567,S,H,H,21,20,9
569,S,H,H,22,20,9
571,S,H,H,18,20,9
574,S,H,H,17,20,9
578,S,H,H,16,20,9
581,S,H,H,15,20,9
582,S,H,H,14,20,9
585,S,H,H,13,20,9
587,S,H,H,12,20,9
590,S,H,H,11,20,9
592,S,H,H,10,20,9
595,S,H,H,7,20,9
599,S,H,H,8,20,9
602,S,H,H,9,20,9
582,S,H,H,21,21,9
584,S,H,H,22,21,9
586,S,H,H,18,21,9
589,S,H,H,17,21,9
593,S,H,H,16,21,9
596,S,H,H,15,21,9
597,S,H,H,14,21,9
600,S,H,H,13,21,9
602,S,H,H,12,21,9
605,S,H,H,11,21,9
607,S,H,H,10,21,9
610,S,H,H,7,21,9
614,S,H,H,8,21,9
617,S,H,H,9,21,9
597,S,H,H,21,22,9
599,S,H,H,22,22,9
601,S,H,H,18,22,9
604,S,H,H,17,22,9
608,S,H,H,16,22,9
611,S,H,H,15,22,9
612,S,H,H,14,22,9
615,S,H,H,13,22,9
617,S,H,H,12,22,9
620,S,H,H,11,22,9
622,S,H,H,10,22,9
625,S,H,H,7,22,9
629,S,H,H,8,22,9
632,S,H,H,9,22,9
612,S,H,H,21,23,9
614,S,H,H,22,23,9
616,S,H,H,18,23,9
619,S,H,H,17,23,9
623,S,H,H,16,23,9
626,S,H,H,15,23,9
627,S,H,H,14,23,9
630,S,H,H,13,23,9
632,S,H,H,12,23,9
635,S,H,H,11,23,9
637,S,H,H,10,23,9
640,S,H,H,7,23,9
644,S,H,H,8,23,9
647,S,H,H,9,23,9
627,S,H,H,21,24,9
629,S,H,H,22,24,9
631,S,H,H,18,24,9
634,S,H,H,17,24,9
638,S,H,H,16,24,9
641,S,H,H,15,24,9
642,S,H,H,14,24,9
645,S,H,H,13,24,9
647,S,H,H,12,24,9
650,S,H,H,11,24,9
652,S,H,H,10,24,9
655,S,H,H,7,24,9
659,S,H,H,8,24,9
662,S,H,H,9,24,9
642,S,H,H,21,25,9
644,S,H,H,22,25,9
646,S,H,H,18,25,9
649,S,H,H,17,25,9
653,S,H,H,16,25,9
656,S,H,H,15,25,9
657,S,H,H,14,25,9
660,S,H,H,13,25,9
662,S,H,H,12,25,9
665,S,H,H,11,25,9
667,S,H,H,10,25,9
670,S,H,H,7,25,9
674,S,H,H,8,25,9
677,S,H,H,9,25,9
657,S,H,H,21,26,9
659,S,H,H,22,26,9
661,S,H,H,18,26,9
664,S,H,H,17,26,9
668,S,H,H,16,26,9
671,S,H,H,15,26,9
672,S,H,H,14,26,9
675,S,H,H,13,26,9
677,S,H,H,12,26,9
680,S,H,H,11,26,9
682,S,H,H,10,26,9
685,S,H,H,7,26,9
689,S,H,H,8,26,9
692,S,H,H,9,26,9
672,S,H,H,21,27,9
674,S,H,H,22,27,9
676,S,H,H,18,27,9
679,S,H,H,17,27,9
683,S,H,H,16,27,9
686,S,H,H,15,27,9
687,S,H,H,14,27,9
690,S,H,H,13,27,9
692,S,H,H,12,27,9
695,S,H,H,11,27,9
697,S,H,H,10,27,9
700,S,H,H,7,27,9
704,S,H,H,8,27,9
707,S,H,H,9,27,9
687,S,H,H,21,28,9
689,S,H,H,22,28,9
691,S,H,H,18,28,9
694,S,H,H,17,28,9
698,S,H,H,16,28,9
701,S,H,H,15,28,9
702,S,H,H,14,28,9
705,S,H,H,13,28,9
707,S,H,H,12,28,9
710,S,H,H,11,28,9
712,S,H,H,10,28,9
715,S,H,H,7,28,9
719,S,H,H,8,28,9
722,S,H,H,9,28,9
702,S,H,H,21,29,9
704,S,H,H,22,29,9
706,S,H,H,18,29,9
709,S,H,H,17,29,9
713,S,H,H,16,29,9
716,S,H,H,15,29,9
717,S,H,H,14,29,9
720,S,H,H,13,29,9
722,S,H,H,12,29,9
725,S,H,H,11,29,9
727,S,H,H,10,29,9
730,S,H,H,7,29,9
734,S,H,H,8,29,9
737,S,H,H,9,29,9
717,S,H,H,21,30,9
719,S,H,H,22,30,9
721,S,H,H,18,30,9
724,S,H,H,17,30,9
728,S,H,H,16,30,9
731,S,H,H,15,30,9
732,S,H,H,14,30,9
735,S,H,H,13,30,9
737,S,H,H,12,30,9
740,S,H,H,11,30,9
743,S,H,H,10,30,9
746,S,H,H,7,30,9
750,S,H,H,8,30,9
753,S,H,H,9,30,9
732,S,H,H,21,31,9
734,S,H,H,22,31,9
736,S,H,H,18,31,9
739,S,H,H,17,31,9
743,S,H,H,16,31,9
746,S,H,H,15,31,9
747,S,H,H,14,31,9
750,S,H,H,13,31,9
752,S,H,H,12,31,9
755,S,H,H,11,31,9
758,S,H,H,10,31,9
761,S,H,H,7,31,9
765,S,H,H,8,31,9
768,S,H,H,9,31,9
747,S,H,H,21,32,9
749,S,H,H,22,32,9
751,S,H,H,18,32,9
754,S,H,H,17,32,9
758,S,H,H,16,32,9
761,S,H,H,15,32,9
