219,S,W,H,31,1,9,31
223,S,W,H,13,1,9,31
225,S,W,H,12,1,9,31
228,S,W,H,11,1,9,31
230,S,W,H,10,1,9,31
232,S,W,H,7,1,9,31
240,S,W,H,8,1,9,31
245,S,W,H,9,1,9,31
232,S,W,H,31,2,7,31
236,S,W,H,13,2,7,31
238,S,W,H,12,2,7,31
241,S,W,H,11,2,7,31
243,S,W,H,10,2,7,31
246,S,W,H,7,2,7,31
266,S,W,H,31,3,9,31
270,S,W,H,13,3,9,31
272,S,W,H,12,3,9,31
275,S,W,H,11,3,9,31
277,S,W,H,10,3,9,31
280,S,W,H,7,3,9,31
284,S,W,H,8,3,9,31
287,S,W,H,9,3,9,31
278,S,W,H,31,4,7,31
282,S,W,H,13,4,7,31
284,S,W,H,12,4,7,31
287,S,W,H,11,4,7,31
290,S,W,H,10,4,7,31
292,S,W,H,7,4,7,31
288,S,W,H,31,5,9,31
292,S,W,H,13,5,9,31
294,S,W,H,12,5,9,31
297,S,W,H,11,5,9,31
300,S,W,H,10,5,9,31
302,S,W,H,7,5,9,31
306,S,W,H,8,5,9,31
309,S,W,H,9,5,9,31
296,S,W,H,31,6,9,31
300,S,W,H,13,6,9,31
302,S,W,H,12,6,9,31
305,S,W,H,11,6,9,31
307,S,W,H,10,6,9,31
310,S,W,H,7,6,9,31
314,S,W,H,8,6,9,31
317,S,W,H,9,6,9,31
324,S,W,H,8,7,9,8
327,S,W,H,9,7,9,8
312,S,W,H,0,8,9,0
314,S,W,H,0,8,9,0
316,S,W,H,18,8,9,0
319,S,W,H,17,8,9,0
323,S,W,H,0,8,9,0
326,S,W,H,15,8,9,0
327,S,W,H,14,8,9,0
329,S,W,H,13,8,9,0
331,S,W,H,12,8,9,0
335,S,W,H,11,8,9,0
337,S,W,H,10,8,9,0
340,S,W,H,7,8,9,0
344,S,W,H,8,8,9,0
347,S,W,H,9,8,9,0
341,S,W,H,31,9,9,31
345,S,W,H,13,9,9,31
347,S,W,H,12,9,9,31
350,S,W,H,11,9,9,31
352,S,W,H,10,9,9,31
355,S,W,H,7,9,9,31
359,S,W,H,8,9,9,31
362,S,W,H,9,9,9,31
342,S,W,H,0,10,9,0
344,S,W,H,0,10,9,0
346,S,W,H,18,10,9,0
349,S,W,H,17,10,9,0
353,S,W,H,0,10,9,0
356,S,W,H,15,10,9,0
357,S,W,H,14,10,9,0
359,S,W,H,13,10,9,0
361,S,W,H,12,10,9,0
365,S,W,H,11,10,9,0
367,S,W,H,10,10,9,0
370,S,W,H,7,10,9,0
374,S,W,H,8,10,9,0
377,S,W,H,9,10,9,0
357,S,W,H,0,11,9,0
359,S,W,H,0,11,9,0
361,S,W,H,18,11,9,0
364,S,W,H,17,11,9,0
368,S,W,H,0,11,9,0
371,S,W,H,15,11,9,0
375,S,W,H,14,11,9,0
377,S,W,H,13,11,9,0
379,S,W,H,12,11,9,0
382,S,W,H,11,11,9,0
385,S,W,H,10,11,9,0
388,S,W,H,7,11,9,0
392,S,W,H,8,11,9,0
395,S,W,H,9,11,9,0
372,S,W,H,0,12,9,0
374,S,W,H,0,12,9,0
376,S,W,H,18,12,9,0
379,S,W,H,17,12,9,0
383,S,W,H,0,12,9,0
386,S,W,H,15,12,9,0
387,S,W,H,14,12,9,0
389,S,W,H,13,12,9,0
391,S,W,H,12,12,9,0
395,S,W,H,11,12,9,0
397,S,W,H,10,12,9,0
400,S,W,H,7,12,9,0
404,S,W,H,8,12,9,0
407,S,W,H,9,12,9,0
387,S,W,H,0,13,9,0
389,S,W,H,0,13,9,0
391,S,W,H,18,13,9,0
394,S,W,H,17,13,9,0
398,S,W,H,0,13,9,0
401,S,W,H,15,13,9,0
405,S,W,H,14,13,9,0
407,S,W,H,13,13,9,0
409,S,W,H,12,13,9,0
412,S,W,H,11,13,9,0
415,S,W,H,10,13,9,0
418,S,W,H,7,13,9,0
422,S,W,H,8,13,9,0
425,S,W,H,9,13,9,0
402,S,W,H,0,14,9,0
404,S,W,H,0,14,9,0
406,S,W,H,18,14,9,0
409,S,W,H,17,14,9,0
413,S,W,H,0,14,9,0
416,S,W,H,15,14,9,0
417,S,W,H,14,14,9,0
419,S,W,H,13,14,9,0
421,S,W,H,12,14,9,0
425,S,W,H,11,14,9,0
427,S,W,H,10,14,9,0
430,S,W,H,7,14,9,0
434,S,W,H,8,14,9,0
437,S,W,H,9,14,9,0
417,S,W,H,0,15,9,0
419,S,W,H,0,15,9,0
421,S,W,H,18,15,9,0
424,S,W,H,17,15,9,0
428,S,W,H,0,15,9,0
431,S,W,H,15,15,9,0
435,S,W,H,14,15,9,0
437,S,W,H,13,15,9,0
439,S,W,H,12,15,9,0
442,S,W,H,11,15,9,0
445,S,W,H,10,15,9,0
448,S,W,H,7,15,9,0
452,S,W,H,8,15,9,0
455,S,W,H,9,15,9,0
432,S,W,H,0,16,9,0
434,S,W,H,0,16,9,0
436,S,W,H,18,16,9,0
439,S,W,H,17,16,9,0
443,S,W,H,0,16,9,0
446,S,W,H,15,16,9,0
447,S,W,H,14,16,9,0
449,S,W,H,13,16,9,0
451,S,W,H,12,16,9,0
455,S,W,H,11,16,9,0
457,S,W,H,10,16,9,0
460,S,W,H,7,16,9,0
464,S,W,H,8,16,9,0
467,S,W,H,9,16,9,0
447,S,W,H,0,17,9,0
449,S,W,H,0,17,9,0
451,S,W,H,18,17,9,0
454,S,W,H,17,17,9,0
458,S,W,H,0,17,9,0
461,S,W,H,15,17,9,0
465,S,W,H,14,17,9,0
467,S,W,H,13,17,9,0
469,S,W,H,12,17,9,0
472,S,W,H,11,17,9,0
475,S,W,H,10,17,9,0
478,S,W,H,7,17,9,0
482,S,W,H,8,17,9,0
485,S,W,H,9,17,9,0
462,S,W,H,0,18,9,0
464,S,W,H,0,18,9,0
466,S,W,H,18,18,9,0
469,S,W,H,17,18,9,0
473,S,W,H,0,18,9,0
476,S,W,H,15,18,9,0
477,S,W,H,14,18,9,0
479,S,W,H,13,18,9,0
481,S,W,H,12,18,9,0
485,S,W,H,11,18,9,0
487,S,W,H,10,18,9,0
490,S,W,H,7,18,9,0
494,S,W,H,8,18,9,0
497,S,W,H,9,18,9,0
477,S,W,H,0,19,9,0
479,S,W,H,0,19,9,0
481,S,W,H,18,19,9,0
484,S,W,H,17,19,9,0
488,S,W,H,0,19,9,0
491,S,W,H,15,19,9,0
495,S,W,H,14,19,9,0
497,S,W,H,13,19,9,0
499,S,W,H,12,19,9,0
502,S,W,H,11,19,9,0
505,S,W,H,10,19,9,0
508,S,W,H,7,19,9,0
512,S,W,H,8,19,9,0
515,S,W,H,9,19,9,0
492,S,W,H,0,20,9,0
494,S,W,H,0,20,9,0
496,S,W,H,18,20,9,0
499,S,W,H,17,20,9,0
503,S,W,H,0,20,9,0
506,S,W,H,15,20,9,0
507,S,W,H,14,20,9,0
509,S,W,H,13,20,9,0
511,S,W,H,12,20,9,0
515,S,W,H,11,20,9,0
517,S,W,H,10,20,9,0
520,S,W,H,7,20,9,0
524,S,W,H,8,20,9,0
527,S,W,H,9,20,9,0
507,S,W,H,0,21,9,0
509,S,W,H,0,21,9,0
511,S,W,H,18,21,9,0
514,S,W,H,17,21,9,0
518,S,W,H,0,21,9,0
521,S,W,H,15,21,9,0
525,S,W,H,14,21,9,0
527,S,W,H,13,21,9,0
529,S,W,H,12,21,9,0
532,S,W,H,11,21,9,0
535,S,W,H,10,21,9,0
538,S,W,H,7,21,9,0
542,S,W,H,8,21,9,0
545,S,W,H,9,21,9,0
522,S,W,H,0,22,9,0
524,S,W,H,0,22,9,0
526,S,W,H,18,22,9,0
529,S,W,H,17,22,9,0
533,S,W,H,0,22,9,0
536,S,W,H,15,22,9,0
537,S,W,H,14,22,9,0
539,S,W,H,13,22,9,0
541,S,W,H,12,22,9,0
545,S,W,H,11,22,9,0
547,S,W,H,10,22,9,0
550,S,W,H,7,22,9,0
554,S,W,H,8,22,9,0
557,S,W,H,9,22,9,0
537,S,W,H,0,23,9,0
539,S,W,H,0,23,9,0
541,S,W,H,18,23,9,0
544,S,W,H,17,23,9,0
548,S,W,H,0,23,9,0
551,S,W,H,15,23,9,0
552,S,W,H,14,23,9,0
554,S,W,H,13,23,9,0
556,S,W,H,12,23,9,0
560,S,W,H,11,23,9,0
562,S,W,H,10,23,9,0
565,S,W,H,7,23,9,0
569,S,W,H,8,23,9,0
572,S,W,H,9,23,9,0
552,S,W,H,0,24,9,0
554,S,W,H,0,24,9,0
556,S,W,H,18,24,9,0
559,S,W,H,17,24,9,0
563,S,W,H,0,24,9,0
566,S,W,H,15,24,9,0
567,S,W,H,14,24,9,0
569,S,W,H,13,24,9,0
571,S,W,H,12,24,9,0
575,S,W,H,11,24,9,0
577,S,W,H,10,24,9,0
580,S,W,H,7,24,9,0
584,S,W,H,8,24,9,0
587,S,W,H,9,24,9,0
567,S,W,H,0,25,9,0
569,S,W,H,0,25,9,0
571,S,W,H,18,25,9,0
574,S,W,H,17,25,9,0
578,S,W,H,0,25,9,0
581,S,W,H,15,25,9,0
582,S,W,H,14,25,9,0
584,S,W,H,13,25,9,0
586,S,W,H,12,25,9,0
590,S,W,H,11,25,9,0
592,S,W,H,10,25,9,0
595,S,W,H,7,25,9,0
599,S,W,H,8,25,9,0
602,S,W,H,9,25,9,0
582,S,W,H,0,26,9,0
584,S,W,H,0,26,9,0
586,S,W,H,18,26,9,0
589,S,W,H,17,26,9,0
593,S,W,H,0,26,9,0
596,S,W,H,15,26,9,0
597,S,W,H,14,26,9,0
599,S,W,H,13,26,9,0
601,S,W,H,12,26,9,0
605,S,W,H,11,26,9,0
607,S,W,H,10,26,9,0
610,S,W,H,7,26,9,0
614,S,W,H,8,26,9,0
617,S,W,H,9,26,9,0
597,S,W,H,0,27,9,0
599,S,W,H,0,27,9,0
601,S,W,H,18,27,9,0
604,S,W,H,17,27,9,0
608,S,W,H,0,27,9,0
611,S,W,H,15,27,9,0
612,S,W,H,14,27,9,0
614,S,W,H,13,27,9,0
616,S,W,H,12,27,9,0
620,S,W,H,11,27,9,0
622,S,W,H,10,27,9,0
625,S,W,H,7,27,9,0
629,S,W,H,8,27,9,0
632,S,W,H,9,27,9,0
612,S,W,H,0,28,9,0
614,S,W,H,0,28,9,0
616,S,W,H,18,28,9,0
619,S,W,H,17,28,9,0
623,S,W,H,0,28,9,0
626,S,W,H,15,28,9,0
627,S,W,H,14,28,9,0
629,S,W,H,13,28,9,0
631,S,W,H,12,28,9,0
635,S,W,H,11,28,9,0
637,S,W,H,10,28,9,0
640,S,W,H,7,28,9,0
644,S,W,H,8,28,9,0
647,S,W,H,9,28,9,0
627,S,W,H,0,29,9,0
629,S,W,H,0,29,9,0
631,S,W,H,18,29,9,0
634,S,W,H,17,29,9,0
638,S,W,H,0,29,9,0
641,S,W,H,15,29,9,0
642,S,W,H,14,29,9,0
644,S,W,H,13,29,9,0
646,S,W,H,12,29,9,0
650,S,W,H,11,29,9,0
652,S,W,H,10,29,9,0
655,S,W,H,7,29,9,0
659,S,W,H,8,29,9,0
662,S,W,H,9,29,9,0
642,S,W,H,0,30,9,0
644,S,W,H,0,30,9,0
646,S,W,H,18,30,9,0
649,S,W,H,17,30,9,0
653,S,W,H,0,30,9,0
656,S,W,H,15,30,9,0
657,S,W,H,14,30,9,0
659,S,W,H,13,30,9,0
661,S,W,H,12,30,9,0
665,S,W,H,11,30,9,0
667,S,W,H,10,30,9,0
670,S,W,H,7,30,9,0
674,S,W,H,8,30,9,0
677,S,W,H,9,30,9,0
657,S,W,H,0,31,9,0
659,S,W,H,0,31,9,0
661,S,W,H,18,31,9,0
664,S,W,H,17,31,9,0
668,S,W,H,0,31,9,0
671,S,W,H,15,31,9,0
672,S,W,H,14,31,9,0
674,S,W,H,13,31,9,0
676,S,W,H,12,31,9,0
680,S,W,H,11,31,9,0
682,S,W,H,10,31,9,0
685,S,W,H,7,31,9,0
689,S,W,H,8,31,9,0
692,S,W,H,9,31,9,0
672,S,W,H,0,32,9,0
674,S,W,H,0,32,9,0
676,S,W,H,18,32,9,0
679,S,W,H,17,32,9,0
